"lng","lat","timestamp_added","reward_scale","payer","owner","nonce","name","mode","location_hex","location","last_poc_challenge","last_change_block","gain","elevation","block_added","block","address","status.timestamp","status.online","status.listen_addrs","status.height","geocode.short_street","geocode.short_state","geocode.short_country","geocode.short_city","geocode.long_street","geocode.long_state","geocode.long_country","geocode.long_city","geocode.city_id"
"-73.9827048808063","40.6604353161724","2021-03-11T20:38:51.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13CsDkkHCroh7EFKjEkT74JmC7qkr4PuJn4jybqShBzYYrR4p7B","2","creamy-chrome-mandrill","full","882a107743fffff","8c2a107742067ff","1730680","1766918","54","0","755468","1766942","112n5HgCVd4zGg4EX31tH883tU2FSricCEChDv5peJeM82vVL8bZ","2022-07-15T22:13:11.648000Z","online","/ip4/108.6.210.201/tcp/31852","1432791","Windsor Pl","NY","US","Brooklyn","Windsor Place","New York","United States","Brooklyn","YnJvb2tseW5uZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.8892268923082","40.7246575140818","2021-03-11T00:52:50.000000Z","0.298309326171875","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","14HyQUMpKtqJCe1vgWCGpd2RDwF4MXEmU81DyhoSfc6S1fQ7r9A","1","deep-taupe-piranha","full","882a100c07fffff","8c2a100c07329ff","1013608","1017777","12","0","754156","1766942","11pd5Mt12B1UGmABVtX5GuPjm1aWKFjfbjztGh8C1YGFCbhKTAx","2022-01-09T08:22:00.281000Z","offline","/p2p/11cWjtzo8uYNrg1qNsSs4SgNRFtvsBw7pLyaHm643q1U2KEV91F/p2p-circuit/p2p/11pd5Mt12B1UGmABVtX5GuPjm1aWKFjfbjztGh8C1YGFCbhKTAx","1044760","Caldwell Ave","NY","US","Queens","Caldwell Avenue","New York","United States","Queens","cXVlZW5zbmV3IHlvcmt1bml0ZWQgc3RhdGVz"
"-73.9902374671314","40.7624285826908","2021-03-10T23:58:14.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","straight-lime-jellyfish","full","882a100d65fffff","8c2a100d649adff","1730975","1766928","12","0","754095","1766942","1127nF9xFcRVn62FzyijiEH5k6uUqcMfTKkH8Cbnc9SmWHbBwGGZ","2022-07-17T20:46:04.961000Z","online","/ip4/67.243.217.174/tcp/44158","1444280","W 48th St","NY","US","New York","West 48th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-74.0126568170743","40.7098679785497","2021-03-10T23:46:58.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","narrow-cinnamon-mongoose","full","882a107289fffff","8c2a10728895bff","1730945","1766856","12","0","754082","1766942","11yTDaeyRSuNRJRTRMZqj123jvjtLh6xaicZr6A54PsdQeTPbvv","2022-07-18T03:59:38.465000Z","online","/ip4/68.173.56.104/tcp/44158","1442581","Greenwich St","NY","US","New York","Greenwich Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-74.0104661732913","40.704157424529","2021-03-10T23:35:13.000000Z","0.11956787109375","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","straight-gauze-ape","full","882a107281fffff","8c2a1072816e3ff","1082595","1082595","12","0","754068","1766942","11y6ouPSof5u4ychUgwyFmfiDsPP38wpkmhKm5yyqAo9N7teNPj","2021-11-03T07:14:40.107000Z","offline","/p2p/11PrPAZtshph2RZNAtKpsf8W8UK4P7jAkTsc7aNe1UJssRfbTdn/p2p-circuit/p2p/11y6ouPSof5u4ychUgwyFmfiDsPP38wpkmhKm5yyqAo9N7teNPj","1082320","Stone St","NY","US","New York","Stone Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-74.0424525079758","40.7257714505257","2021-03-10T23:26:39.000000Z","0.13824462890625","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr","1","sleepy-concrete-cat","full","882a1072e5fffff","8c2a1072e4355ff","1200326","1200561","12","0","754058","1766942","112ZzbcLqwCKgKPid1KmayfPjxWn1d5YzKEWvVAj4tEidKKBVmeV","2022-01-28T05:22:22.489000Z","offline","/ip4/73.194.124.135/tcp/22919","1196619","7th St","NJ","US","Jersey City","7th Street","New Jersey","United States","Jersey City","amVyc2V5IGNpdHluZXcgamVyc2V5dW5pdGVkIHN0YXRlcw"
"-73.9505906013426","40.7789297158853","2021-03-10T23:23:19.000000Z","0.0253753662109375","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","little-opaque-dalmatian","full","882a10089bfffff","8c2a10089b8a9ff","1138092","1138164","12","0","754054","1766942","11dTKxaxfE4Qfr2ydTKpgza3jEn8Spjqfd2g53UPFnUw2vVhvtx","2021-12-14T16:33:52.435000Z","offline","/ip4/184.153.65.178/tcp/44158","1137774","E 88th St","NY","US","New York","East 88th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.979117845069","40.7775165285104","2021-03-10T23:13:53.000000Z","0.03515625","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","acidic-jetblack-koala","full","882a1008bbfffff","8c2a1008ba323ff","1080098","1080150","12","0","754043","1766942","112efA9y1DZb6iYkPxBn7bQJUDf3g5zCaf7w44DNKTL2h2cFRce5","2021-11-01T08:56:22.136000Z","offline","/p2p/112YybX2sZXbVSTzWwQpGod1pGCLnLXUMqD2jFopmJnEnxAeutAS/p2p-circuit/p2p/112efA9y1DZb6iYkPxBn7bQJUDf3g5zCaf7w44DNKTL2h2cFRce5","1079495","Manhattan","NY","US","New York","Manhattan","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9399952329962","40.7944341407997","2021-03-10T23:02:13.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","curved-basil-sardine","full","882a1008d3fffff","8c2a1008d3353ff","1730560","1766721","12","0","754029","1766942","11EfLbdG4XgEdFkP9UGC9Zo15qGrPTs8ZzszrQFXSfnPw7J8Qi7","2022-07-17T23:15:00.465000Z","online","/ip4/74.66.199.170/tcp/44158","1438615","E 112th St","NY","US","New York","East 112th Street","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
"-73.9536011009589","40.7753950218595","2021-03-10T22:42:13.000000Z","1","13ENbEQPAvytjLnqavnbSAzurhGoCSNkGECMx7eHHDAfEaDirdY","13H58axNoFdwo1dE9FNEf7PNXAkc8ifLtPQ4LZNvcufq1XZfzoB","1","soaring-bubblegum-seahorse","full","882a100893fffff","8c2a100893205ff","1731308","1766918","12","0","754005","1766942","112QWyrJZWwiBTZHJWfWku2X8RfpzsrejW1hDC5brqywxvHx6nav","2022-07-16T13:10:05.391000Z","online","/ip4/68.175.6.108/tcp/44158","1442520","2nd Ave","NY","US","New York","2nd Avenue","New York","United States","New York","bmV3IHlvcmtuZXcgeW9ya3VuaXRlZCBzdGF0ZXM"
